id,name,price_usd,discount_pct,total_usd,state,device_type,number_of_items,email
1,Customer 1,254.87,43,145.2759,IL,phone,3,customer1@gmail.com
2,Customer 2,959.82,17,796.6506,MI,other,5,customer2@gmail.com
3,Customer 3,457.9,9,416.689,NY,phone,6,customer3@yahoo.com
4,Customer 4,793.46,5,753.787,NC,other,2,customer4@gmail.com
5,Customer 5,727.5,48,378.3,FL,in store,3,customer5@outlook.com
6,Customer 6,428.88,26,317.3712,GA,other,10,customer6@gmail.com
7,Customer 7,667.53,17,554.0499,OH,other,9,customer7@hotmail.com
8,Customer 8,50.12,19,40.5972,IL,other,4,customer8@yahoo.com
9,Customer 9,474.87,20,379.896,MI,mobile,5,customer9@gmail.com
10,Customer 10,366.71,47,194.3563,TX,in store,7,customer10@hotmail.com
11,Customer 11,253.14,27,184.79219999999998,CA,phone,5,customer11@example.com
12,Customer 12,519.23,29,368.6533,TX,phone,9,customer12@example.com
13,Customer 13,870.61,29,618.1331,TX,in store,4,customer13@outlook.com
14,Customer 14,916.31,43,522.2967,NC,phone,12,customer14@yahoo.com
15,Customer 15,206.05,27,150.4165,NY,mobile,7,customer15@yahoo.com
16,Customer 16,91.89,3,89.13329999999999,CA,in store,8,customer16@outlook.com
17,Customer 17,352.02,0,352.02,NY,other,2,customer17@gmail.com
18,Customer 18,886.89,11,789.3321,NC,mobile,10,customer18@yahoo.com
19,Customer 19,305.06,2,298.9588,IL,mobile,1,customer19@gmail.com
20,Customer 20,71.69,8,65.9548,NY,in store,2,customer20@yahoo.com
21,Customer 21,980.46,3,951.0462,NC,mobile,11,customer21@gmail.com
22,Customer 22,755.03,40,453.018,PA,mobile,8,customer22@hotmail.com
23,Customer 23,453.21,1,448.67789999999997,GA,mobile,4,customer23@hotmail.com
24,Customer 24,529.74,21,418.49460000000005,TX,mobile,8,customer24@hotmail.com
25,Customer 25,668.21,34,441.0186,FL,mobile,2,customer25@hotmail.com
26,Customer 26,191,5,181.45,IL,phone,12,customer26@yahoo.com
27,Customer 27,748.2,10,673.3800000000001,IL,mobile,2,customer27@outlook.com
28,Customer 28,726.63,31,501.37469999999996,IL,phone,12,customer28@hotmail.com
29,Customer 29,332.78,7,309.48539999999997,MI,in store,10,customer29@hotmail.com
30,Customer 30,420.12,42,243.66960000000003,GA,in store,11,customer30@yahoo.com
31,Customer 31,381.14,10,343.026,NC,mobile,4,customer31@yahoo.com
32,Customer 32,551.43,13,479.74409999999995,MI,phone,6,customer32@gmail.com
33,Customer 33,728.23,47,385.9619,IL,other,2,customer33@gmail.com
34,Customer 34,821.28,26,607.7472,NY,in store,1,customer34@yahoo.com
35,Customer 35,930.41,49,474.5091,FL,mobile,3,customer35@hotmail.com
36,Customer 36,295.08,8,271.4736,TX,mobile,6,customer36@outlook.com
37,Customer 37,648.66,18,531.9012,IL,in store,4,customer37@gmail.com
38,Customer 38,900.04,40,540.024,OH,other,12,customer38@gmail.com
39,Customer 39,788.68,37,496.86839999999995,NC,mobile,8,customer39@yahoo.com
40,Customer 40,868.66,45,477.76300000000003,NY,in store,12,customer40@hotmail.com
41,Customer 41,116.11,14,99.8546,OH,other,3,customer41@gmail.com
42,Customer 42,337.46,34,222.72359999999995,GA,mobile,12,customer42@outlook.com
43,Customer 43,828.63,43,472.31910000000005,NY,phone,7,customer43@outlook.com
44,Customer 44,61.65,40,36.989999999999995,TX,phone,4,customer44@yahoo.com
45,Customer 45,888.59,14,764.1874,CA,mobile,2,customer45@hotmail.com
46,Customer 46,965.4,26,714.396,CA,mobile,7,customer46@outlook.com
47,Customer 47,701.18,21,553.9322,IL,other,3,customer47@gmail.com
48,Customer 48,548.68,38,340.18159999999995,NY,phone,9,customer48@hotmail.com
49,Customer 49,297.1,32,202.028,IL,other,12,customer49@yahoo.com
50,Customer 50,172.36,0,172.36,CA,in store,2,customer50@hotmail.com
51,Customer 51,619.32,46,334.43280000000004,CA,other,1,customer51@gmail.com
52,Customer 52,21.08,49,10.7508,MI,other,11,customer52@outlook.com
53,Customer 53,92.28,49,47.0628,NY,phone,10,customer53@outlook.com
54,Customer 54,536.73,32,364.97639999999996,OH,mobile,11,customer54@example.com
55,Customer 55,84.26,30,58.982,CA,other,11,customer55@example.com
56,Customer 56,354.23,34,233.7918,FL,phone,6,customer56@outlook.com
57,Customer 57,365.73,12,321.8424,TX,in store,9,customer57@example.com
58,Customer 58,513.04,13,446.34479999999996,FL,phone,1,customer58@yahoo.com
59,Customer 59,978.36,27,714.2028,OH,phone,1,customer59@example.com
60,Customer 60,47.82,23,36.821400000000004,GA,mobile,1,customer60@example.com
61,Customer 61,725.95,15,617.0575,IL,other,8,customer61@gmail.com
62,Customer 62,302.78,34,199.83479999999994,CA,phone,12,customer62@outlook.com
63,Customer 63,275.3,39,167.933,OH,phone,2,customer63@outlook.com
64,Customer 64,595.22,6,559.5068,MI,in store,10,customer64@gmail.com
65,Customer 65,67.49,50,33.745,MI,mobile,1,customer65@hotmail.com
66,Customer 66,177.89,46,96.0606,IL,mobile,7,customer66@hotmail.com
67,Customer 67,717.35,36,459.10400000000004,NY,mobile,3,customer67@hotmail.com
68,Customer 68,609.46,32,414.4328,PA,mobile,11,customer68@yahoo.com
69,Customer 69,287.21,4,275.72159999999997,NY,in store,8,customer69@yahoo.com
70,Customer 70,86.43,17,71.7369,MI,mobile,11,customer70@example.com
71,Customer 71,214.05,39,130.5705,FL,in store,4,customer71@hotmail.com
72,Customer 72,822.18,24,624.8568,FL,mobile,5,customer72@example.com
73,Customer 73,546.42,10,491.77799999999996,OH,phone,8,customer73@outlook.com
74,Customer 74,198.52,7,184.6236,FL,other,8,customer74@example.com
75,Customer 75,352.91,25,264.6825,CA,phone,2,customer75@yahoo.com
76,Customer 76,683.75,36,437.6,CA,other,9,customer76@outlook.com
77,Customer 77,549.7,9,500.22700000000003,TX,in store,4,customer77@outlook.com
